Vehiculo;Etiqueta;Matricula;TipoVehiculo;TipoServicio;Sintetizador SIRCI;NivelEmision ;Marca;Accesible;Operador;Modelo;Zona;Concesion
6001;B0001;SIS805;ARTICULADO;TRONCAL;SI;EURO II;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2004;SUR;AUTOPISTA SUR T2
6002;B0002;SIS806;ARTICULADO;TRONCAL;SI;EURO II;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2004;SUR;AUTOPISTA SUR T2
6003;B0003;SIS807;ARTICULADO;TRONCAL;SI;EURO II;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2004;SUR;AUTOPISTA SUR T2
6004;B0004;SIS808;ARTICULADO;TRONCAL;SI;EURO II;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2004;SUR;AUTOPISTA SUR T2
6005;B0005;SIS809;ARTICULADO;TRONCAL;SI;EURO II;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2004;SUR;AUTOPISTA SUR T2
6006;B0006;SIS810;ARTICULADO;TRONCAL;SI;EURO II;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2004;SUR;AUTOPISTA SUR T2
6007;B0007;SIS811;ARTICULADO;TRONCAL;SI;EURO II;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2004;SUR;AUTOPISTA SUR T2
6008;B0008;SIS812;ARTICULADO;TRONCAL;SI;EURO II;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2004;SUR;AUTOPISTA SUR T2
6009;B0009;SIS813;ARTICULADO;TRONCAL;SI;EURO II;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2004;SUR;AUTOPISTA SUR T2
6010;B0010;SIS814;ARTICULADO;TRONCAL;SI;EURO II;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2004;SUR;AUTOPISTA SUR T2
6011;B0011;VDA190;ARTICULADO;TRONCAL;SI;EURO II;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2004;SUR;AUTOPISTA SUR T2
6012;B0012;VDA189;ARTICULADO;TRONCAL;SI;EURO II;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2004;SUR;AUTOPISTA SUR T2
6013;B0013;VDA188;ARTICULADO;TRONCAL;SI;EURO II;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2004;SUR;AUTOPISTA SUR T2
6014;B0014;VDA191;ARTICULADO;TRONCAL;SI;EURO II;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2004;SUR;AUTOPISTA SUR T2
6015;B0015;VDC699;ARTICULADO;TRONCAL;SI;EURO II;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2004;SUR;AUTOPISTA SUR T2
6016;B0016;VDC710;ARTICULADO;TRONCAL;SI;EURO II;VOLVO;PLATAFORMA ALTA;CONNEXIÓN MOVIL;2004;SUR;AUTOPISTA SUR T2
